like1,para,parb,parc,pard,parm,chain
0.4090698,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,0.0
0.4237971,0.63037634,4.592976,0.01451851,0.641059,0.44156665,1.0
0.57006776,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,2.0
0.36025625,0.05006728,1.1548275,0.5740788,0.52501225,0.52583164,3.0
0.46393704,0.26407138,7.7964215,0.0007028096,0.87053657,0.6852851,4.0
0.4738305,0.3012203,5.675585,0.48439875,0.4669912,0.7641789,5.0
-0.17043358,0.9546346,1.4352901,0.30040735,0.82079875,0.36987907,6.0
0.3550116,0.80432016,6.2214403,0.20711102,0.406596,0.795074,7.0
0.36726788,0.766403,6.750465,0.22928412,0.5860515,0.8779412,8.0
0.33986038,0.41183716,2.5317268,0.61164886,0.7070903,0.7620336,9.0
0.48542824,0.26407138,4.592976,0.01451851,0.641059,0.44156665,3.0
0.3463064,0.80432016,6.2214403,0.0007028096,0.87053657,0.6852851,7.0
0.4242939,0.03901482,1.4352901,0.30040735,0.82079875,0.36987907,3.0
0.4090698,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,5.0
-0.17043358,0.9546346,1.4352901,0.30040735,0.82079875,0.36987907,8.0
-0.17043358,0.9546346,1.4352901,0.30040735,0.82079875,0.36987907,4.0
-0.17043358,0.9546346,1.4352901,0.30040735,0.82079875,0.36987907,5.0
-0.16434585,0.9546346,1.4352901,0.31845045,0.42954436,0.4120082,5.0
0.28967267,0.03901482,1.5221108,0.31845045,0.42954436,0.8779412,1.0
0.4090698,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,9.0
0.4320636,0.03901482,1.5221108,0.30040735,0.82079875,0.36987907,5.0
0.4090698,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,1.0
0.4090698,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,2.0
0.4090698,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,0.0
-0.34066164,0.9546346,1.4352901,0.30040735,0.82079875,0.8779412,8.0
0.4090698,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,6.0
0.4090698,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,3.0
0.4090698,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,3.0
0.4090698,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,9.0
0.4090698,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,5.0
0.30955845,0.41183716,2.5317268,0.61164886,0.7070903,0.8779412,9.0
0.4090698,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,8.0
0.28967267,0.03901482,1.5221108,0.31845045,0.42954436,0.8779412,6.0
0.6074592,0.32599774,6.4783964,0.6544047,0.42954436,0.4120082,4.0
0.4090698,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,5.0
0.4090698,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,6.0
0.4742582,0.63037634,4.592976,0.31845045,0.42954436,0.4120082,2.0
0.28967267,0.03901482,1.5221108,0.31845045,0.42954436,0.8779412,8.0
0.35818043,0.32599774,1.5221108,0.31845045,0.42954436,0.4120082,6.0
