like1,para,parb,parc,pard,parm,chain
-0.4066227,0.23949134,4.545495,0.95587796,0.24235085,0.5501069,0.0
-0.5309508,0.5814377,0.6916846,0.4749982,0.1639001,0.8147766,1.0
-0.5586908,0.46341294,1.6878104,0.55645204,0.4134275,0.55467564,2.0
-0.031898003,0.74800515,1.9210396,0.27590576,0.54916734,0.100557275,3.0
-0.45595977,0.64141595,6.7516885,0.5265287,0.72280353,0.91369045,4.0
-0.53763515,0.0765955,7.249467,0.25313634,0.6137221,0.65434945,5.0
-0.64215446,0.4082666,0.6823472,0.47100148,0.81117636,0.75984555,6.0
-0.2882187,0.96209836,0.8228304,0.58124524,0.23781721,0.99661297,7.0
0.19881031,0.76251906,4.8591237,0.9676778,0.49427983,0.0529196,8.0
-0.43518636,0.69016814,3.5875032,0.5453866,0.50150704,0.444405,9.0
-0.38556615,0.4082666,4.545495,0.95587796,0.24235085,0.5501069,3.0
-0.45263264,0.64141595,6.7516885,0.47100148,0.81117636,0.75984555,7.0
-0.6626476,0.23949134,0.6823472,0.47100148,0.81117636,0.75984555,3.0
-0.05601151,0.23949134,4.545495,0.27590576,0.54916734,0.100557275,0.0
-0.11037112,0.23949134,1.9210396,0.27590576,0.54916734,0.100557275,2.0
-0.4066227,0.23949134,4.545495,0.95587796,0.24235085,0.5501069,4.0
-0.4066227,0.23949134,4.545495,0.95587796,0.24235085,0.5501069,9.0
-0.4066227,0.23949134,4.545495,0.95587796,0.24235085,0.5501069,5.0
-0.52515864,0.5814377,0.6916846,0.4749982,0.24235085,0.5501069,8.0
-0.4066227,0.23949134,4.545495,0.95587796,0.24235085,0.5501069,9.0
-0.11037112,0.23949134,1.9210396,0.27590576,0.54916734,0.100557275,6.0
-0.4066227,0.23949134,4.545495,0.95587796,0.24235085,0.5501069,7.0
-0.11037112,0.23949134,1.9210396,0.27590576,0.54916734,0.100557275,6.0
-0.4066227,0.23949134,4.545495,0.95587796,0.24235085,0.5501069,3.0
-0.4066227,0.23949134,4.545495,0.95587796,0.24235085,0.5501069,3.0
-0.4066227,0.23949134,4.545495,0.95587796,0.24235085,0.5501069,9.0
-0.4066227,0.23949134,4.545495,0.95587796,0.24235085,0.5501069,5.0
-0.5586908,0.46341294,1.6878104,0.55645204,0.4134275,0.55467564,9.0
-0.4066227,0.23949134,4.545495,0.95587796,0.24235085,0.5501069,8.0
-0.407557,0.23949134,4.545495,0.95587796,0.24235085,0.55467564,6.0
-0.09129578,0.5814377,0.6916846,0.4749982,0.54916734,0.100557275,4.0
-0.4066227,0.23949134,4.545495,0.95587796,0.24235085,0.5501069,5.0
-0.4066227,0.23949134,4.545495,0.95587796,0.24235085,0.5501069,6.0
-0.4066227,0.23949134,4.545495,0.95587796,0.24235085,0.5501069,2.0
-0.407557,0.23949134,4.545495,0.95587796,0.24235085,0.55467564,8.0
-0.071304604,0.5814377,1.9210396,0.27590576,0.54916734,0.100557275,6.0
-0.011955745,0.23949134,4.545495,0.95587796,0.54916734,0.100557275,3.0
-0.08855052,0.46341294,1.9210396,0.27590576,0.54916734,0.100557275,2.0
-0.4066227,0.23949134,4.545495,0.95587796,0.24235085,0.5501069,6.0
-0.4066227,0.23949134,4.545495,0.95587796,0.24235085,0.5501069,9.0
-0.52515864,0.5814377,0.6916846,0.4749982,0.24235085,0.5501069,4.0
-0.44738108,0.23949134,4.545495,0.95587796,0.24235085,0.91369045,0.0
-0.4570904,0.5814377,0.6916846,0.95587796,0.24235085,0.5501069,5.0
-0.4066227,0.23949134,4.545495,0.95587796,0.24235085,0.5501069,9.0
-0.05601151,0.23949134,4.545495,0.27590576,0.54916734,0.100557275,4.0
-0.4066227,0.23949134,4.545495,0.95587796,0.24235085,0.5501069,6.0
-0.05601151,0.23949134,4.545495,0.27590576,0.54916734,0.100557275,1.0
-0.52515864,0.5814377,0.6916846,0.4749982,0.24235085,0.5501069,1.0
