like1,para,parb,parc,pard,parm,parwmbeta,parwmalpha,chain
0.64963335,0.23949134,0.6823472,0.47100148,0.81117636,0.75984555,0.4,0.85,0.0
0.62379557,0.23949134,0.6823472,0.47100148,0.81117636,0.75984555,0.5,0.85,0.0
0.5952487,0.23949134,0.6823472,0.47100148,0.81117636,0.75984555,0.6,0.85,0.0
0.5663323,0.23949134,0.6823472,0.47100148,0.81117636,0.75984555,0.7,0.85,0.0
0.5400208,0.23949134,0.6823472,0.47100148,0.81117636,0.75984555,0.8,0.85,0.0
0.5169522,0.23949134,0.6823472,0.47100148,0.81117636,0.75984555,0.9,0.85,0.0
0.4968531,0.23949134,0.6823472,0.47100148,0.81117636,0.75984555,1.0,0.85,0.0
0.38341898,0.23949134,0.6823472,0.47100148,0.81117636,0.75984555,2.0,0.85,0.0
0.3411444,0.23949134,0.6823472,0.47100148,0.81117636,0.75984555,3.0,0.85,0.0
0.32004288,0.23949134,0.6823472,0.47100148,0.81117636,0.75984555,4.0,0.85,0.0
0.3077679,0.23949134,0.6823472,0.47100148,0.81117636,0.75984555,5.0,0.85,0.0
0.3007401,0.23949134,0.6823472,0.47100148,0.81117636,0.75984555,6.0,0.85,0.0
0.29591933,0.23949134,0.6823472,0.47100148,0.81117636,0.75984555,7.0,0.85,0.0
0.29268348,0.23949134,0.6823472,0.47100148,0.81117636,0.75984555,8.0,0.85,0.0
0.29043955,0.23949134,0.6823472,0.47100148,0.81117636,0.75984555,9.0,0.85,0.0
0.2886657,0.23949134,0.6823472,0.47100148,0.81117636,0.75984555,10.0,0.85,0.0
0.33784392,0.4082666,0.6823472,0.47100148,0.81117636,0.75984555,0.1,0.85,0.0
0.41098338,0.4082666,0.6823472,0.47100148,0.81117636,0.75984555,0.2,0.85,0.0
0.614284,0.4082666,0.6823472,0.47100148,0.81117636,0.75984555,0.3,0.85,0.0
