like1,para,parb,parc,pard,parm,chain
1.2072713,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,0.0
1.1564977,0.63037634,4.592976,0.01451851,0.641059,0.44156665,1.0
1.278738,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,2.0
1.1569278,0.05006728,1.1548275,0.5740788,0.52501225,0.52583164,3.0
1.3164488,0.26407138,7.7964215,0.0007028096,0.87053657,0.6852851,4.0
1.2720383,0.3012203,5.675585,0.48439875,0.4669912,0.7641789,5.0
0.3900991,0.9546346,1.4352901,0.30040735,0.82079875,0.36987907,6.0
1.070993,0.80432016,6.2214403,0.20711102,0.406596,0.795074,7.0
1.1176685,0.766403,6.750465,0.22928412,0.5860515,0.8779412,8.0
1.1680619,0.41183716,2.5317268,0.61164886,0.7070903,0.7620336,9.0
1.1393343,0.3012203,1.5221108,0.31845045,0.42954436,0.4120082,3.0
1.1622736,0.05006728,1.1548275,0.48439875,0.4669912,0.7641789,7.0
1.2255603,0.03901482,1.4352901,0.30040735,0.82079875,0.36987907,3.0
1.2072713,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,5.0
0.3900991,0.9546346,1.4352901,0.30040735,0.82079875,0.36987907,8.0
0.3900991,0.9546346,1.4352901,0.30040735,0.82079875,0.36987907,4.0
0.3900991,0.9546346,1.4352901,0.30040735,0.82079875,0.36987907,5.0
0.3773316,0.9546346,1.4352901,0.31845045,0.42954436,0.4120082,5.0
1.2027252,0.03901482,1.5221108,0.6544047,0.67838204,0.54754615,0.0
1.3273486,0.03901482,6.4783964,0.6544047,0.67838204,0.54754615,2.0
1.2072713,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,4.0
1.2072713,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,9.0
1.2072713,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,5.0
1.1565286,0.63037634,4.592976,0.01451851,0.42954436,0.4120082,8.0
1.2072713,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,9.0
1.3273486,0.03901482,6.4783964,0.6544047,0.67838204,0.54754615,6.0
1.2072713,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,7.0
1.3273486,0.03901482,6.4783964,0.6544047,0.67838204,0.54754615,6.0
1.2072713,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,3.0
1.2072713,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,3.0
1.2072713,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,9.0
1.2072713,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,5.0
1.0702822,0.80432016,6.2214403,0.20711102,0.406596,0.52583164,9.0
1.2072713,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,8.0
1.2068651,0.03901482,1.5221108,0.31845045,0.42954436,0.52583164,6.0
1.1565048,0.63037634,4.592976,0.01451851,0.67838204,0.54754615,4.0
1.2072713,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,5.0
1.2072713,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,6.0
1.2072713,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,2.0
1.2068651,0.03901482,1.5221108,0.31845045,0.42954436,0.52583164,8.0
1.1878132,0.63037634,6.4783964,0.6544047,0.67838204,0.54754615,6.0
1.2230605,0.03901482,1.5221108,0.31845045,0.67838204,0.54754615,3.0
1.0777031,0.80432016,6.4783964,0.6544047,0.67838204,0.54754615,2.0
1.2072713,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,6.0
1.2072713,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,9.0
1.1565286,0.63037634,4.592976,0.01451851,0.42954436,0.4120082,4.0
1.2068651,0.03901482,1.5221108,0.31845045,0.42954436,0.52583164,0.0
1.1456705,0.63037634,4.592976,0.31845045,0.42954436,0.4120082,5.0
1.2072713,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,9.0
1.2027252,0.03901482,1.5221108,0.6544047,0.67838204,0.54754615,4.0
1.2072713,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,6.0
1.2027252,0.03901482,1.5221108,0.6544047,0.67838204,0.54754615,1.0
1.1565286,0.63037634,4.592976,0.01451851,0.42954436,0.4120082,1.0
1.2068651,0.03901482,1.5221108,0.31845045,0.42954436,0.52583164,2.0
1.2072713,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,6.0
1.2072713,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,6.0
1.2072713,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,1.0
1.0708553,0.80432016,6.2214403,0.20711102,0.406596,0.4120082,9.0
1.2072713,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,4.0
1.2072713,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,7.0
